variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
1.34_189.3281m/z,189.3281112,1.3437,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88_201.0989m/z,201.0989217,1.883766667,100 - 5.73,10270.93547,0,0,0,0,0,0,0,0,0,0,0,0,0,3.982613771,0,0,0,0,0,0
1.77_770.4908m/z,770.4908232,1.7701,90.4 - 100,5810.301111,634.8774085,435.4549095,584.3724589,401.059745,883.8454174,609.7342229,966.3056287,564.5794735,989.8605881,584.5484827,3396.559732,800.1547272,646.7766612,399.4543362,716.0640466,782.9843541,1001.181159,759.8026157,643.385852,619.1013361
1.16_403.8626m/z,403.8625957,1.158716667,100 - 22.8,0.361221474,0.016198176,0.074670436,0,0,0,0,0.046779203,0,0.021100058,0,0.277266051,0.0352821,0.054177482,0,0,0,0.07387452,0,0,0
1.15_300.2606n,335.2300357,1.151566667,100 - 34,1.180732655,5596.959076,8555.315976,3861.080107,8107.408434,5362.879355,5540.147287,6092.248661,5230.916419,6394.318621,9547.482252,0.912343478,16634.58231,5165.091927,13727.52147,3223.448266,2682.737926,2092.856936,3019.203953,2618.13525,5853.335826
1.97_255.3142m/z,255.3141719,1.969466667,100 - 15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07_391.4577m/z,391.4576805,1.06565,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24_201.2311m/z,201.2311038,1.243716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74_108.0121m/z,108.0121428,5.739283333,100 - 1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26_417.4275m/z,417.4274941,1.258,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08_626.3433m/z,626.3432806,2.083033333,100 - 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_203.2718m/z,203.2717717,1.7701,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06_255.3139m/z,255.3138926,2.0616,100 - 28.8 - 1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06_511.4726m/z,511.472617,2.0616,100 - 37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.99_145.0863m/z,145.0862992,1.9909,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26_417.5291m/z,417.5291086,1.258,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23_695.6943m/z,695.6942562,1.229433333,100,0,7.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98_185.1532m/z,185.1531952,1.976616667,100 - 9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
